ID	adj.P.Val	P.Value	t	B	logFC	Gene.symbol	Gene.title
214073_at	0.1202619	1.10e-02	2.5586258	-2.92612	0.39605281	CTTN	cortactin
219267_at	0.1203336	1.10e-02	-2.5581369	-2.92727	-0.29327166	GLTP	glycolipid transfer protein
219183_s_at	0.1203336	1.10e-02	-2.5580654	-2.92744	-0.19514902	CYTH4	cytohesin 4
212128_s_at	0.1204431	1.11e-02	-2.5573358	-2.92915	-0.2390139	DAG1	dystroglycan 1
200863_s_at	0.1204431	1.11e-02	2.5569587	-2.93003	0.13983179	RAB11A	RAB11A, member RAS oncogene family
207956_x_at	0.1204431	1.11e-02	2.5569496	-2.93005	0.16960087	PDS5B	PDS5 cohesin associated factor B
213197_at	0.1204431	1.11e-02	-2.5568836	-2.93021	-0.46475785	ASTN1	astrotactin 1
214974_x_at	0.1204431	1.11e-02	-2.5568724	-2.93023	-0.49656269	CXCL5	C-X-C motif chemokine ligand 5
204265_s_at	0.1204496	1.11e-02	-2.5566793	-2.93068	-0.22171913	GPSM3	G-protein signaling modulator 3
201570_at	0.1206609	1.11e-02	-2.5557657	-2.93282	-0.14655046	SAMM50	SAMM50 sorting and assembly machinery component
218779_x_at	0.1206609	1.11e-02	2.5556092	-2.93319	0.20383961	EPS8L1	EPS8 like 1
205400_at	0.1206609	1.11e-02	-2.55508	-2.93443	-0.30184715	WAS	Wiskott-Aldrich syndrome
203132_at	0.1206609	1.11e-02	2.5550779	-2.93443	0.21777235	RB1	RB transcriptional corepressor 1
210731_s_at	0.1206609	1.11e-02	2.5549989	-2.93462	0.1964454	LGALS8	galectin 8
220208_at	0.1206609	1.11e-02	-2.55483	-2.93501	-0.26059068	ADAMTS13	ADAM metallopeptidase with thrombospondin type 1 motif 13
207571_x_at	0.1206609	1.12e-02	-2.5544069	-2.936	-0.30093178	THEMIS2	thymocyte selection associated family member 2
219239_s_at	0.1206609	1.12e-02	-2.5544015	-2.93601	-0.23565585	ZNF654	zinc finger protein 654
213193_x_at	0.1206609	1.12e-02	-2.5543595	-2.93611	-0.39232473	TRBC1	T cell receptor beta constant 1
212166_at	0.1206609	1.12e-02	-2.5542526	-2.93636	-0.23174986	XPO7	exportin 7
202175_at	0.1206609	1.12e-02	-2.5539985	-2.93696	-0.17694994	CHPF	chondroitin polymerizing factor
212449_s_at	0.1206609	1.12e-02	2.5539766	-2.93701	0.21285314	LYPLA1	lysophospholipase I
218128_at	0.1208751	1.12e-02	2.553172	-2.93889	0.21144458	NFYB	nuclear transcription factor Y subunit beta
205644_s_at	0.1209398	1.12e-02	2.5528086	-2.93974	0.17419062	SNRPG	small nuclear ribonucleoprotein polypeptide G
219582_at	0.1212063	1.12e-02	-2.5518511	-2.94198	-0.32398444	OGFRL1	opioid growth factor receptor like 1
212496_s_at	0.1212777	1.12e-02	2.5514687	-2.94287	0.31614071	KDM4B	lysine demethylase 4B
212219_at	0.1213489	1.13e-02	-2.551087	-2.94376	-0.21236905	PSME4	proteasome activator subunit 4
207724_s_at	0.1213545	1.13e-02	-2.550898	-2.94421	-0.18840034	SPAST	spastin
221659_s_at	0.1214884	1.13e-02	-2.5503321	-2.94553	-0.36287749	MYL10	myosin light chain 10
216623_x_at	0.1215244	1.13e-02	2.5500263	-2.94624	0.83259456	TOX3	TOX high mobility group box family member 3
205877_s_at	0.1215244	1.13e-02	-2.5498305	-2.9467	-0.25113723	ZC3H7B	zinc finger CCCH-type containing 7B
214560_at	0.1215244	1.13e-02	-2.5494806	-2.94752	-0.25917096	FPR3	formyl peptide receptor 3
202092_s_at	0.1215244	1.13e-02	-2.5494336	-2.94763	-0.14788579	ARL2BP	ADP ribosylation factor like GTPase 2 binding protein
200771_at	0.1215244	1.13e-02	2.5491694	-2.94824	0.20014453	LAMC1	laminin subunit gamma 1
220201_at	0.1215244	1.13e-02	2.5490856	-2.94844	0.21861565	RC3H2	ring finger and CCCH-type domains 2
214298_x_at	0.1215244	1.13e-02	-2.5490218	-2.94859	-0.22077429	SEPT6	septin 6
203963_at	0.1215376	1.13e-02	2.5487797	-2.94915	0.57375862	CA12	carbonic anhydrase 12
212083_at	0.1215376	1.13e-02	-2.5482603	-2.95036	-0.12969728	TEX261	testis expressed 261
203282_at	0.1215376	1.14e-02	2.5480859	-2.95077	0.23098203	GBE1	glucan (1,4-alpha-), branching enzyme 1
202750_s_at	0.1215376	1.14e-02	-2.5480785	-2.95079	-0.1226881	TFIP11	tuftelin interacting protein 11
216544_at	0.1215376	1.14e-02	-2.5480677	-2.95081	-0.37013108	LOC100652931///RBMY2FP	RNA binding motif protein, Y-linked, family 1, member A1 pseudogene///RNA binding motif protein, Y-linked, family 2, member F pseudogene
221621_at	0.1215376	1.14e-02	-2.5477874	-2.95147	-0.21700143	MIR6516///SCARNA16///SNHG20	microRNA 6516///small Cajal body-specific RNA 16///small nucleolar RNA host gene 20
208625_s_at	0.1215376	1.14e-02	-2.5477816	-2.95148	-0.2764913	EIF4G1	eukaryotic translation initiation factor 4 gamma 1
212332_at	0.121642	1.14e-02	-2.5473037	-2.9526	-0.4669693	RBL2	RB transcriptional corepressor like 2
207495_at	0.1216775	1.14e-02	-2.5469494	-2.95342	-0.43027712	RAB28	RAB28, member RAS oncogene family
212971_at	0.1216775	1.14e-02	2.5468573	-2.95364	0.17505863	CARS	cysteinyl-tRNA synthetase
213378_s_at	0.1217318	1.14e-02	-2.5465268	-2.95441	-0.17009867	LOC642846///DDX12P///DDX11	DEAD/H (Asp-Glu-Ala-Asp/His) box polypeptide 11-like///DEAD/H-box helicase 12, pseudogene///DEAD/H-box helicase 11
208802_at	0.1217895	1.14e-02	2.5461864	-2.9552	0.17186209	SRP72	signal recognition particle 72
211562_s_at	0.1218343	1.14e-02	2.5458147	-2.95607	0.35370251	LMOD1	leiomodin 1
211941_s_at	0.1218343	1.14e-02	-2.5457133	-2.95631	-0.19166427	PEBP1	phosphatidylethanolamine binding protein 1
217228_s_at	0.1221574	1.15e-02	-2.5445964	-2.95891	-0.4469135	ASB4	ankyrin repeat and SOCS box containing 4
203836_s_at	0.1222945	1.15e-02	-2.5440246	-2.96024	-0.24549115	MAP3K5	mitogen-activated protein kinase kinase kinase 5
213186_at	0.1223012	1.15e-02	2.5438342	-2.96069	0.20715432	DZIP3	DAZ interacting zinc finger protein 3
204922_at	0.1224074	1.15e-02	2.5433535	-2.96181	0.54610263	C11orf80	chromosome 11 open reading frame 80
214301_s_at	0.1225205	1.15e-02	-2.5428527	-2.96297	-0.37374297	DPYSL4	dihydropyrimidinase like 4
202663_at	0.1225672	1.15e-02	-2.5425458	-2.96369	-0.27967445	WIPF1	WAS/WASL interacting protein family member 1
202930_s_at	0.1225761	1.15e-02	2.5423494	-2.96415	0.17630895	SUCLA2	succinate-CoA ligase ADP-forming beta subunit
209509_s_at	0.1226248	1.15e-02	-2.5420369	-2.96487	-0.13106564	DPAGT1	dolichyl-phosphate N-acetylglucosaminephosphotransferase 1
217878_s_at	0.1226329	1.16e-02	-2.5416426	-2.96579	-0.29178239	CDC27	cell division cycle 27
221503_s_at	0.1226329	1.16e-02	-2.5413756	-2.96641	-0.17620154	KPNA3	karyopherin subunit alpha 3
209276_s_at	0.1226329	1.16e-02	-2.5413715	-2.96642	-0.26314833	GLRX	glutaredoxin
205364_at	0.1226329	1.16e-02	2.5413321	-2.96651	0.53447567	ACOX2	acyl-CoA oxidase 2
204682_at	0.1226477	1.16e-02	2.5411189	-2.96701	0.26058476	LTBP2	latent transforming growth factor beta binding protein 2
217795_s_at	0.1226494	1.16e-02	-2.5408559	-2.96762	-0.11952955	TMEM43	transmembrane protein 43
202769_at	0.1226494	1.16e-02	2.540774	-2.96781	0.27957127	CCNG2	cyclin G2
220172_at	0.1226575	1.16e-02	2.5405805	-2.96826	0.29530811	DCAF17	DDB1 and CUL4 associated factor 17
200857_s_at	0.1227653	1.16e-02	-2.5400962	-2.96939	-0.17544009	NCOR1	nuclear receptor corepressor 1
206949_s_at	0.1227817	1.16e-02	2.539866	-2.96993	0.13785651	RUSC1	RUN and SH3 domain containing 1
215082_at	0.1227817	1.16e-02	-2.5397092	-2.97029	-0.19073602	ELOVL5	ELOVL fatty acid elongase 5
66053_at	0.1229409	1.16e-02	-2.5390756	-2.97177	-0.35357318	HNRNPUL2-BSCL2///HNRNPUL2	HNRNPUL2-BSCL2 readthrough (NMD candidate)///heterogeneous nuclear ribonucleoprotein U like 2
210133_at	0.1229909	1.17e-02	-2.5386133	-2.97284	-0.37103123	CCL11	C-C motif chemokine ligand 11
209188_x_at	0.1229909	1.17e-02	-2.5385912	-2.97289	-0.1343364	DR1	down-regulator of transcription 1
205569_at	0.1230676	1.17e-02	-2.5381986	-2.97381	-0.58621815	LAMP3	lysosomal associated membrane protein 3
211719_x_at	0.1230688	1.17e-02	2.5380256	-2.97421	0.22386697	FN1	fibronectin 1
212590_at	0.1234054	1.17e-02	-2.5368324	-2.97698	-0.19757509	RRAS2	related RAS viral (r-ras) oncogene homolog 2
206594_at	0.1234054	1.17e-02	2.5366094	-2.9775	0.30346559	PASK	PAS domain containing serine/threonine kinase
64064_at	0.1234054	1.17e-02	-2.536537	-2.97767	-0.21777388	GIMAP1-GIMAP5///GIMAP5	GIMAP1-GIMAP5 readthrough///GTPase, IMAP family member 5
211392_s_at	0.1234054	1.17e-02	-2.5363709	-2.97805	-0.26049086	PATZ1	POZ/BTB and AT hook containing zinc finger 1
206518_s_at	0.1235132	1.17e-02	-2.5358889	-2.97917	-0.38812555	RGS9	regulator of G-protein signaling 9
219630_at	0.1236853	1.18e-02	-2.5352212	-2.98072	-0.40483054	PDZK1IP1	PDZK1 interacting protein 1
216433_s_at	0.1238772	1.18e-02	-2.5342828	-2.9829	-0.45762484	PRDM2	PR/SET domain 2
202733_at	0.1238772	1.18e-02	2.5342686	-2.98294	0.19451365	LOC101927705///P4HA2	uncharacterized LOC101927705///prolyl 4-hydroxylase subunit alpha 2
212643_at	0.1238772	1.18e-02	2.5341587	-2.98319	0.13694419	MAPK1IP1L	mitogen-activated protein kinase 1 interacting protein 1 like
204263_s_at	0.1240182	1.18e-02	-2.5333839	-2.98499	-0.40351102	CPT2	carnitine palmitoyltransferase 2
200829_x_at	0.1240182	1.18e-02	2.5333519	-2.98506	0.10269555	ZNF207	zinc finger protein 207
205420_at	0.1240182	1.18e-02	2.533245	-2.98531	0.279997	PEX7	peroxisomal biogenesis factor 7
215778_x_at	0.1242862	1.19e-02	-2.532301	-2.9875	-0.27448595	HAB1	B1 for mucin
212292_at	0.1242862	1.19e-02	-2.5321336	-2.98789	-0.3637298	SLC7A1	solute carrier family 7 member 1
208961_s_at	0.1244867	1.19e-02	-2.5313872	-2.98962	-0.30540373	KLF6	Kruppel like factor 6
206782_s_at	0.1245467	1.19e-02	-2.5310458	-2.99041	-0.31136258	DNAJC4	DnaJ heat shock protein family (Hsp40) member C4
201270_x_at	0.1247762	1.19e-02	2.5301161	-2.99257	0.11938938	NUDCD3	NudC domain containing 3
211839_s_at	0.1247762	1.19e-02	-2.5300485	-2.99273	-0.2262958	CSF1	colony stimulating factor 1
208258_s_at	0.1247898	1.19e-02	-2.5298411	-2.99321	-0.2815286	GAS2L1	growth arrest specific 2 like 1
201554_x_at	0.1248674	1.20e-02	-2.5292236	-2.99464	-0.22360435	GYG1	glycogenin 1
217370_x_at	0.1248674	1.20e-02	-2.528917	-2.99535	-0.30752402	FUS	FUS RNA binding protein
204279_at	0.1248674	1.20e-02	-2.5288714	-2.99545	-0.31885932	PSMB9	proteasome subunit beta 9
217840_at	0.1248674	1.20e-02	2.5287046	-2.99584	0.13892294	DDX41	DEAD-box helicase 41
216134_at	0.1248674	1.20e-02	-2.5286575	-2.99595	-0.42940026	FRMD4B	FERM domain containing 4B
202833_s_at	0.1248674	1.20e-02	-2.5286096	-2.99606	-0.55428127	SERPINA1	serpin family A member 1
207735_at	0.1248747	1.20e-02	-2.5284209	-2.9965	-0.34767498	RNF125	ring finger protein 125
217633_at	0.1248804	1.20e-02	2.5282367	-2.99693	0.34973466	URB1	URB1 ribosome biogenesis 1 homolog (S. cerevisiae)
200656_s_at	0.1248836	1.20e-02	-2.5280599	-2.99733	-0.43196902	P4HB	prolyl 4-hydroxylase subunit beta
220037_s_at	0.1249126	1.20e-02	-2.5278089	-2.99792	-0.48409343	LYVE1	lymphatic vessel endothelial hyaluronan receptor 1
208757_at	0.1249477	1.20e-02	2.5275405	-2.99854	0.32579396	TMED9	transmembrane p24 trafficking protein 9
200756_x_at	0.1251118	1.20e-02	-2.5269015	-3.00002	-0.20286921	CALU	calumenin
214774_x_at	0.1252924	1.21e-02	2.5261413	-3.00178	0.80282294	TOX3	TOX high mobility group box family member 3
203468_at	0.1252924	1.21e-02	2.5260487	-3.00199	0.30661191	CDK10	cyclin dependent kinase 10
218403_at	0.1253941	1.21e-02	2.5254857	-3.00329	0.09932246	TRIAP1	TP53 regulated inhibitor of apoptosis 1
211916_s_at	0.1253941	1.21e-02	-2.5253662	-3.00357	-0.16370894	MYO1A	myosin IA
217403_s_at	0.1253941	1.21e-02	-2.5252553	-3.00383	-0.3519496	ZNF227	zinc finger protein 227
214538_x_at	0.1254214	1.21e-02	-2.5250101	-3.0044	-0.19513385	RGS6	regulator of G-protein signaling 6
217717_s_at	0.1254704	1.21e-02	-2.5247024	-3.00511	-0.24599284	YWHAB	tyrosine 3-monooxygenase/tryptophan 5-monooxygenase activation protein beta
53202_at	0.1254859	1.21e-02	2.5243548	-3.00591	0.1790549	C7orf25///PSMA2	chromosome 7 open reading frame 25///proteasome subunit alpha 2
204186_s_at	0.1254859	1.21e-02	-2.5243242	-3.00598	-0.2424704	PPID	peptidylprolyl isomerase D
216403_at	0.1255751	1.21e-02	-2.5238779	-3.00701	-0.39215018	SP3P	Sp3 transcription factor pseudogene
200786_at	0.1255751	1.22e-02	2.5237352	-3.00734	0.15839685	PSMB7	proteasome subunit beta 7
215926_x_at	0.125581	1.22e-02	2.5234171	-3.00808	0.35615208	SNAPC4	small nuclear RNA activating complex polypeptide 4
209311_at	0.125581	1.22e-02	2.5233849	-3.00815	0.15001012	BCL2L2	BCL2 like 2
203950_s_at	0.1257059	1.22e-02	2.5228607	-3.00937	0.20235115	CLCN6	chloride voltage-gated channel 6
210028_s_at	0.1257297	1.22e-02	-2.522573	-3.01003	-0.18174634	ORC3	origin recognition complex subunit 3
202805_s_at	0.1257297	1.22e-02	-2.5224597	-3.01029	-0.28514465	ABCC1	ATP binding cassette subfamily C member 1
203634_s_at	0.1258178	1.22e-02	2.5220412	-3.01126	0.35678241	CPT1A	carnitine palmitoyltransferase 1A
209168_at	0.1259499	1.22e-02	-2.5214975	-3.01252	-0.26142337	GPM6B	glycoprotein M6B
214102_at	0.126117	1.22e-02	2.520854	-3.014	0.1907826		
211055_s_at	0.126117	1.23e-02	2.5206878	-3.01439	0.43195067	INVS	inversin
221525_at	0.1261261	1.23e-02	-2.5204591	-3.01492	-0.40718079	ZMIZ2	zinc finger MIZ-type containing 2
33760_at	0.1261261	1.23e-02	2.5203294	-3.01522	0.16421515	PEX14	peroxisomal biogenesis factor 14
214696_at	0.1261762	1.23e-02	2.5200189	-3.01593	0.2466964	MIR22///MIR22HG	microRNA 22///MIR22 host gene
213666_at	0.1261762	1.23e-02	-2.5198544	-3.01631	-0.19316804	SEPT6	septin 6
212450_at	0.1262062	1.23e-02	2.5195153	-3.0171	0.19824393	SECISBP2L	SECIS binding protein 2 like
206226_at	0.1262062	1.23e-02	-2.5194121	-3.01733	-0.29184206	HRG	histidine rich glycoprotein
210912_x_at	0.1262062	1.23e-02	-2.5192712	-3.01766	-0.1619949	GSTM4	glutathione S-transferase mu 4
38158_at	0.1263013	1.23e-02	2.5188345	-3.01867	0.24441701	ESPL1	extra spindle pole bodies like 1, separase
203801_at	0.1264138	1.23e-02	2.5183481	-3.01979	0.2474167	MRPS14	mitochondrial ribosomal protein S14
212320_at	0.126439	1.23e-02	-2.5181106	-3.02034	-0.15312515	TUBB	tubulin beta class I
200964_at	0.1265074	1.24e-02	-2.5177504	-3.02117	-0.16972759	UBA1	ubiquitin like modifier activating enzyme 1
202090_s_at	0.1265374	1.24e-02	2.5174518	-3.02186	0.15921156	UQCR11	ubiquinol-cytochrome c reductase, complex III subunit XI
208721_s_at	0.1265374	1.24e-02	-2.5173339	-3.02213	-0.20773331	ANAPC5	anaphase promoting complex subunit 5
203049_s_at	0.1267411	1.24e-02	2.516589	-3.02385	0.19093288	TTC37	tetratricopeptide repeat domain 37
204850_s_at	0.1269429	1.24e-02	-2.5156761	-3.02595	-0.31739925	DCX	doublecortin
212340_at	0.1269429	1.24e-02	2.5154674	-3.02643	0.15298298	YIPF6	Yip1 domain family member 6
203398_s_at	0.1269429	1.24e-02	-2.5153977	-3.0266	-0.42068723	GALNT3	polypeptide N-acetylgalactosaminyltransferase 3
201437_s_at	0.1269429	1.24e-02	2.5153549	-3.02669	0.21730971	EIF4E	eukaryotic translation initiation factor 4E
215431_at	0.1270423	1.25e-02	-2.5149075	-3.02773	-0.29873983	SNTB1	syntrophin beta 1
211395_x_at	0.1270735	1.25e-02	-2.5146539	-3.02831	-0.2582878	FCGR2C	Fc fragment of IgG receptor IIc (gene/pseudogene)
222085_at	0.1271821	1.25e-02	2.514181	-3.0294	0.44515296	FAM174B	family with sequence similarity 174 member B
202931_x_at	0.1273505	1.25e-02	-2.513453	-3.03108	-0.28446528	BIN1	bridging integrator 1
216416_at	0.1273505	1.25e-02	-2.5133741	-3.03126	-0.41285141		
219014_at	0.1273586	1.25e-02	-2.5131494	-3.03178	-0.33979338	PLAC8	placenta specific 8
208784_s_at	0.1273586	1.25e-02	-2.5130214	-3.03207	-0.18045367	KLHDC3	kelch domain containing 3
202117_at	0.1274119	1.25e-02	2.512627	-3.03298	0.16651636	ARHGAP1	Rho GTPase activating protein 1
206026_s_at	0.1274119	1.25e-02	2.512386	-3.03353	0.30214409	TNFAIP6	TNF alpha induced protein 6
219938_s_at	0.1274119	1.25e-02	-2.5122945	-3.03375	-0.2157377	PSTPIP2	proline-serine-threonine phosphatase interacting protein 2
202524_s_at	0.1274119	1.25e-02	-2.5122122	-3.03393	-0.29084251	SPOCK2	sparc/osteonectin, cwcv and kazal-like domains proteoglycan (testican) 2
211488_s_at	0.1274465	1.26e-02	-2.5119498	-3.03454	-0.30472694	ITGB8	integrin subunit beta 8
205424_at	0.1274539	1.26e-02	-2.5117646	-3.03497	-0.30314393	TBKBP1	TBK1 binding protein 1
212614_at	0.1275056	1.26e-02	-2.5112668	-3.03611	-0.22035569	ARID5B	AT-rich interaction domain 5B
203301_s_at	0.1275056	1.26e-02	2.511078	-3.03655	0.16661164	DMTF1	cyclin D binding myb like transcription factor 1
204477_at	0.1275056	1.26e-02	2.5108542	-3.03706	0.1903652	RABIF	RAB interacting factor
208440_at	0.1275056	1.26e-02	-2.510718	-3.03737	-0.17372302	LINC01565	long intergenic non-protein coding RNA 1565
40569_at	0.1275056	1.26e-02	2.5106317	-3.03757	0.20028251	MZF1	myeloid zinc finger 1
218684_at	0.1275056	1.26e-02	-2.5104829	-3.03791	-0.15283002	LRRC8D	leucine rich repeat containing 8 family member D
216768_x_at	0.1275056	1.26e-02	-2.5104697	-3.03795	-0.44089338	TTC38	tetratricopeptide repeat domain 38
201068_s_at	0.1281854	1.27e-02	2.5083136	-3.0429	0.14029405	PSMC2	proteasome 26S subunit, ATPase 2
208550_x_at	0.1281854	1.27e-02	-2.5082216	-3.04312	-0.25034718	KCNG2	potassium voltage-gated channel modifier subfamily G member 2
202349_at	0.1282621	1.27e-02	2.5077568	-3.04418	0.12631612	TOR1A	torsin family 1 member A
217019_at	0.1282621	1.27e-02	-2.5071233	-3.04564	-0.38342603		
221664_s_at	0.1282621	1.27e-02	-2.5070887	-3.04572	-0.28277005	F11R	F11 receptor
202620_s_at	0.1282621	1.27e-02	2.5068331	-3.04631	0.34927104	PLOD2	procollagen-lysine,2-oxoglutarate 5-dioxygenase 2
220433_at	0.1282621	1.27e-02	-2.5068192	-3.04634	-0.36131852	PRRG3	proline rich and Gla domain 3
218139_s_at	0.1282621	1.27e-02	2.5067855	-3.04642	0.15431707	AP5M1	adaptor related protein complex 5 mu 1 subunit
216315_x_at	0.1282621	1.27e-02	-2.5067644	-3.04647	-0.26486166		
214383_x_at	0.1282621	1.27e-02	-2.5066968	-3.04662	-0.24833225	KLHDC3	kelch domain containing 3
214295_at	0.1283902	1.28e-02	2.5061054	-3.04798	0.37650472	KIAA0485	uncharacterized LOC57235
202163_s_at	0.1283902	1.28e-02	2.5060096	-3.0482	0.18140579	CNOT8	CCR4-NOT transcription complex subunit 8
218062_x_at	0.1284717	1.28e-02	-2.5056172	-3.0491	-0.20904833	CDC42EP4	CDC42 effector protein 4
206804_at	0.1284963	1.28e-02	-2.5053848	-3.04963	-0.46637713	CD3G	CD3g molecule
207238_s_at	0.1287775	1.28e-02	-2.5044313	-3.05182	-0.50547827	PTPRC	protein tyrosine phosphatase, receptor type C
64408_s_at	0.1288889	1.28e-02	2.5039555	-3.05292	0.35522527	CALML4	calmodulin like 4
208112_x_at	0.1290084	1.29e-02	-2.5034571	-3.05406	-0.18893065	EHD1	EH domain containing 1
200001_at	0.1293728	1.29e-02	-2.5022736	-3.05678	-0.2793881	CAPNS1	calpain small subunit 1
219240_s_at	0.129393	1.29e-02	2.5020544	-3.05728	0.17342655	C10orf88	chromosome 10 open reading frame 88
201760_s_at	0.1296573	1.29e-02	2.5011165	-3.05943	0.15323364	WSB2	WD repeat and SOCS box containing 2
206513_at	0.1296573	1.29e-02	-2.5009467	-3.05982	-0.28295483	AIM2	absent in melanoma 2
212655_at	0.1296573	1.29e-02	2.5008273	-3.06009	0.18690862	ZCCHC14	zinc finger CCHC-type containing 14
201050_at	0.1296869	1.30e-02	-2.5005818	-3.06065	-0.36523144	PLD3	phospholipase D family member 3
200828_s_at	0.129694	1.30e-02	-2.5003993	-3.06107	-0.19487262	ZNF207	zinc finger protein 207
203651_at	0.1297359	1.30e-02	2.50012	-3.06171	0.18032126	ZFYVE16	zinc finger FYVE-type containing 16
203695_s_at	0.1297614	1.30e-02	2.4997751	-3.0625	0.18116924	DFNA5	DFNA5, deafness associated tumor suppressor
216585_at	0.1297614	1.30e-02	2.4995676	-3.06298	0.41089669		
212430_at	0.1297614	1.30e-02	-2.4995614	-3.06299	-0.20004115	RBM38	RNA binding motif protein 38
214114_x_at	0.1298504	1.30e-02	2.4991506	-3.06393	0.12513107	FASTK	Fas activated serine/threonine kinase
215434_x_at	0.1299029	1.30e-02	-2.498842	-3.06464	-0.24395246	LOC102724250///NBPF26///NBPF19///NBPF10///NBPF15///NBPF11///NBPF1///NBPF14	neuroblastoma breakpoint family member 1///neuroblastoma breakpoint family member 26///neuroblastoma breakpoint family member 19///neuroblastoma breakpoint family member 10///neuroblastoma breakpoint family member 15///neuroblastoma breakpoint family member 11///neuroblastoma breakpoint family member 1///neuroblastoma breakpoint family member 14
203772_at	0.1299836	1.30e-02	2.4984548	-3.06553	0.49583238	BLVRA	biliverdin reductase A
204531_s_at	0.1301075	1.30e-02	2.4979475	-3.06669	0.29818961	BRCA1	BRCA1, DNA repair associated
214770_at	0.1301345	1.31e-02	2.4977056	-3.06724	0.32383532	MSR1	macrophage scavenger receptor 1
218637_at	0.1301345	1.31e-02	2.4975481	-3.06761	0.22802415	IMPACT	impact RWD domain protein
206074_s_at	0.1302504	1.31e-02	-2.4970634	-3.06871	-0.28601354	HMGA1	high mobility group AT-hook 1
216632_at	0.1303078	1.31e-02	-2.4967417	-3.06945	-0.2901647	NAV3	neuron navigator 3
211059_s_at	0.1303321	1.31e-02	-2.4965122	-3.06998	-0.24565797	GOLGA2	golgin A2
213794_s_at	0.1305165	1.31e-02	2.4958378	-3.07152	0.1340223	NGDN	neuroguidin
218438_s_at	0.1305692	1.31e-02	-2.4955297	-3.07222	-0.16388829	MED28	mediator complex subunit 28
216542_x_at	0.1305866	1.32e-02	-2.4951005	-3.07321	-0.25135421	IGHM///IGHG1///IGHA1	immunoglobulin heavy constant mu///immunoglobulin heavy constant gamma 1 (G1m marker)///immunoglobulin heavy constant alpha 1
200653_s_at	0.1305866	1.32e-02	2.4947541	-3.074	0.17011182	CALM3///CALM2///CALM1	calmodulin 3///calmodulin 2///calmodulin 1
201118_at	0.1305866	1.32e-02	-2.4947406	-3.07403	-0.36436815	PGD	phosphogluconate dehydrogenase
202372_at	0.1305866	1.32e-02	2.4946807	-3.07417	0.18043999	RAB3GAP2///AURKAPS1	RAB3 GTPase activating non-catalytic protein subunit 2///aurora kinase A pseudogene 1
218995_s_at	0.1305866	1.32e-02	-2.4946732	-3.07418	-0.44553517	EDN1	endothelin 1
221826_at	0.130638	1.32e-02	2.4943691	-3.07488	0.15720491	ANGEL2	angel homolog 2
219502_at	0.130738	1.32e-02	2.4939303	-3.07588	0.21263666	NEIL3	nei like DNA glycosylase 3
218855_at	0.1309272	1.32e-02	-2.4932441	-3.07745	-0.26110617	TPRA1	transmembrane protein adipocyte associated 1
212825_at	0.1310551	1.32e-02	2.4926865	-3.07873	0.18827798	PAXIP1	PAX interacting protein 1
202228_s_at	0.1310551	1.32e-02	2.4925114	-3.07913	0.16323235	NPTN	neuroplastin
205719_s_at	0.1310551	1.33e-02	2.4923638	-3.07946	0.4171814	LOC101929036///PAH	uncharacterized LOC101929036///phenylalanine hydroxylase
214400_at	0.1310551	1.33e-02	-2.492245	-3.07974	-0.3955735	INSL3	insulin like 3
221185_s_at	0.1311791	1.33e-02	-2.4917407	-3.08089	-0.26972765	IQCG	IQ motif containing G
220542_s_at	0.1317118	1.33e-02	-2.4901079	-3.08462	-0.23214725	BPIFA1	BPI fold containing family A member 1
202735_at	0.1318086	1.34e-02	2.4894966	-3.08601	0.24414415	EBP	emopamil binding protein (sterol isomerase)
206752_s_at	0.1318086	1.34e-02	2.4893986	-3.08624	0.21456454	DFFB	DNA fragmentation factor subunit beta
207795_s_at	0.1318086	1.34e-02	-2.4893583	-3.08633	-0.31705257	KLRD1	killer cell lectin like receptor D1
203502_at	0.1319812	1.34e-02	2.488722	-3.08778	0.14700765	BPGM	bisphosphoglycerate mutase
204456_s_at	0.1321869	1.34e-02	-2.4879952	-3.08944	-0.31066256	GAS1	growth arrest specific 1
211467_s_at	0.1327491	1.35e-02	-2.4862914	-3.09332	-0.46899522	NFIB	nuclear factor I B
213007_at	0.1327822	1.35e-02	2.48604	-3.0939	0.25652524	FANCI	Fanconi anemia complementation group I
209410_s_at	0.1328335	1.35e-02	-2.4855563	-3.095	-0.16895355	GRB10	growth factor receptor bound protein 10
217432_s_at	0.1328335	1.35e-02	-2.4854107	-3.09533	-0.18607942	IDS	iduronate 2-sulfatase
207610_s_at	0.1328335	1.35e-02	-2.4853215	-3.09553	-0.30382446	ADGRE2	adhesion G protein-coupled receptor E2
47530_at	0.1328335	1.35e-02	2.485257	-3.09568	0.13224771	TRMO	tRNA methyltransferase O
208104_s_at	0.1329626	1.35e-02	-2.4845173	-3.09737	-0.20946752	TSC22D4	TSC22 domain family member 4
220934_s_at	0.1329626	1.36e-02	2.4841158	-3.09828	0.16107799	TMEM223	transmembrane protein 223
218945_at	0.1329626	1.36e-02	2.484046	-3.09844	0.15546179	METTL22	methyltransferase like 22
209172_s_at	0.1329626	1.36e-02	2.4838709	-3.09884	0.25787139	CENPF	centromere protein F
210511_s_at	0.1329626	1.36e-02	2.4837314	-3.09916	0.40313256	INHBA	inhibin beta A subunit
211656_x_at	0.1329626	1.36e-02	-2.4837116	-3.0992	-0.32515124	LOC101060835///HLA-DQB1	HLA class II histocompatibility antigen, DQ beta 1 chain-like///major histocompatibility complex, class II, DQ beta 1
